n_sym,n_err,ber,mse_tau,mse_fd,corr_tau,margin_mean,attn_entropy,attn_maxw,conv1_energy,conv1_cos,conv2_energy,conv2_cos,pool_projection_energy,pool_projection_cos,attn_weights_energy,attn_weights_cos,attn_pool_energy,attn_pool_cos,sensing_position_energy,sensing_position_cos,sensing_delay_profile_energy,sensing_delay_profile_cos,sensing_features_energy,sensing_features_cos,arch,jammer,jsr_db,realization
240000,786,0.003275,57.7061956340712,5.340507748663739e-10,0.6085128630807785,2.8385329823811847,4.459325064026039,0.03147428212563197,0.008108627360314131,0.9977249879837036,0.007356211051344872,0.9957213095029195,0.019886971605817476,0.9969144889513651,0.0001329325016743193,,0.010445117360850175,0.9971046565373739,0.25174006579717,0.988784406820933,0.003763740341862043,0.8727890842755636,0.07556150670448938,0.9876365661621094,conv1d,barrage,-10.0,2
240000,1517,0.006320833333333334,66.87976838353174,5.340966007438042e-10,0.5157097016702439,2.796335745239258,4.4552652006746385,0.032794342545668285,0.009235556974262,0.9934725033442179,0.008104804762949546,0.9863082658449809,0.02039015772640705,0.9905047554969788,0.00013420536362876494,,0.009812071969608465,0.9902894644737243,0.2520387847105662,0.9839102439880371,0.0048564867104093235,0.7875097538630168,0.07594381911357244,0.9801223107973734,conv1d,barrage,-6.0,2
240000,5357,0.022320833333333335,77.97470529924678,5.343973382804866e-10,0.38014615083847214,2.6221370295206707,4.4408585680463775,0.03585669720967611,0.012086577425400416,0.9835821650822958,0.010151739220817883,0.9589079333941142,0.02265247767964999,0.9689935002326965,0.00013841960914433003,,0.00941794908195734,0.9635075871149699,0.2518404364109039,0.9788809870084126,0.007601197931170463,0.6872696463267008,0.07697381200393041,0.967917239189148,conv1d,barrage,-2.0,2
240000,22128,0.0922,87.66395757783866,5.354080707764467e-10,0.23813754631986633,2.044704913330078,4.397401753862775,0.04363604205449422,0.019318508472045262,0.9675397785504659,0.015726782662669817,0.9041923805872599,0.030631481609741846,0.9152904628117879,0.00015204332903958858,,0.011448054780066013,0.8897694770495097,0.25137545138994855,0.9742043763796489,0.014495372804005941,0.5906878469785054,0.08042178933620453,0.9449511483510336,conv1d,barrage,2.0,2
240000,57796,0.24081666666666668,95.2604843041459,5.383553523864677e-10,0.13034728925530137,1.1683634981791178,4.271922999821338,0.06457187466621399,0.03767950016458829,0.950089942296346,0.030609497265021005,0.8377538595199585,0.05413573072751363,0.8437817894617716,0.00020053095212206243,,0.02255374388794104,0.7847680422465007,0.25091805148124696,0.9705761028925578,0.03181239647070567,0.513017852306366,0.0909763088663419,0.8962690110206604,conv1d,barrage,6.0,2
240000,92794,0.38664166666666666,103.77154518981098,5.460071984127566e-10,0.06583399671801812,0.5562104118347168,3.9246853610413317,0.12146409568786622,0.08423683897654216,0.9361919554074606,0.06958940448760986,0.7835336089134216,0.11726821628411611,0.7883210908571879,0.0004050306202378124,,0.07057518877585729,0.6881980317433675,0.25071693981488546,0.9678233504295349,0.07531022047201792,0.4584534604549408,0.12342911007006963,0.792222157239914,conv1d,barrage,10.0,2
240000,842,0.0035083333333333334,57.83126407229644,5.340506602639833e-10,0.6071170366744106,2.83750590616862,4.459374645929753,0.03147402470111847,0.008107833909243346,0.9977089692751566,0.007354988003770511,0.9957859207789104,0.01988397859831651,0.9968835423787434,0.00013292291128697494,,0.010444877024988333,0.9971643350919088,0.25177451858520505,0.9891521706581116,0.0037602559647212427,0.8731641448338826,0.07556963220040004,0.9880067083040873,conv1d,barrage,-10.0,3
240000,1584,0.0066,66.92187172616364,5.340256510300144e-10,0.5151076866481115,2.7951309743245445,4.4553321957516925,0.03278692450523377,0.00923433227216204,0.993425695737203,0.008102756308019161,0.9864164203008016,0.020384538956483206,0.9903940304120382,0.00013419362829687694,,0.009810773162543774,0.9903823146820069,0.25209283409118655,0.9842141488393148,0.004850438201179107,0.787232746442159,0.07595605428616206,0.9804649558067322,conv1d,barrage,-6.0,3
240000,5437,0.022654166666666666,77.94706207971173,5.342548695313965e-10,0.3807217435009222,2.6214263814290364,4.4408790548700585,0.03587558417320252,0.012084703806539377,0.9834776334762573,0.01014852364907662,0.9589922072092693,0.022643369242548943,0.968784517288208,0.00013842732258296262,,0.00941497343579928,0.9638218665122986,0.251898324918747,0.9785970004399618,0.0075902900263667104,0.685170471906662,0.07698453622659047,0.9677714715003968,conv1d,barrage,-2.0,3
240000,22252,0.09271666666666667,87.59978226926718,5.351538605492971e-10,0.2394780823133799,2.0428506675720213,4.3972325157738394,0.04370113313992818,0.01931556823849678,0.9674076620737712,0.015722528783480325,0.9042657729784648,0.030619531658291815,0.9154238926569621,0.0001521196351153776,,0.011448911503950755,0.8908852089246114,0.251419108915329,0.9738740752538045,0.014474765083690484,0.5866608737309774,0.08042535259326299,0.9448451056480408,conv1d,barrage,2.0,3
