2026-09-25 12:15:01 | src.utils.config_loader        | INFO   | config snapshot saved: /content/drive/MyDrive/sezione_3/full/ber_vs_snr/logs/config_used.yaml
2026-09-25 12:15:01 | __main__                       | INFO   | ============================================================
2026-09-25 12:15:01 | __main__                       | INFO   | ber_vs_snr experiment: BER vs SNR (5 architectures, 3 scenarios)
2026-09-25 12:15:01 | __main__                       | INFO   | ============================================================
2026-09-25 12:15:01 | __main__                       | INFO   | ber_vs_snr: --model=['conv1d', 'qkv'] filters architectures to: ['conv1d', 'qkv']
2026-09-25 12:15:01 | __main__                       | INFO   | --- Scenario: k3_doppler_full ---
2026-09-25 12:15:01 | src.experiments.pipeline       | INFO   | Dataset not found in data/raw/760fc038, generating...
2026-09-25 12:15:02 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/train_snr-5_echo3.npz: 7500 symbols, x shape=(7500, 100), tau in [1, 33], f_d in [5.855e-08, 7.999e-05]
2026-09-25 12:15:04 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/train_snr-3_echo3.npz: 7500 symbols, x shape=(7500, 100), tau in [1, 33], f_d in [1.028e-07, 7.966e-05]
2026-09-25 12:15:04 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/train_snr-1_echo3.npz: 7500 symbols, x shape=(7500, 100), tau in [1, 33], f_d in [8.809e-08, 7.997e-05]
2026-09-25 12:15:06 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/train_snr1_echo3.npz: 7500 symbols, x shape=(7500, 100), tau in [1, 33], f_d in [1.393e-08, 7.996e-05]
2026-09-25 12:15:07 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/train_snr3_echo3.npz: 7500 symbols, x shape=(7500, 100), tau in [1, 33], f_d in [2.007e-08, 7.994e-05]
2026-09-25 12:15:08 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/train_snr5_echo3.npz: 7500 symbols, x shape=(7500, 100), tau in [1, 33], f_d in [9.287e-08, 7.999e-05]
2026-09-25 12:15:09 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/train_snr7_echo3.npz: 7500 symbols, x shape=(7500, 100), tau in [1, 33], f_d in [1.873e-08, 7.999e-05]
2026-09-25 12:15:10 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/train_snr9_echo3.npz: 7500 symbols, x shape=(7500, 100), tau in [1, 33], f_d in [3.304e-08, 7.999e-05]
2026-09-25 12:15:11 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/train_snr11_echo3.npz: 7500 symbols, x shape=(7500, 100), tau in [1, 33], f_d in [3.882e-08, 7.998e-05]
2026-09-25 12:15:11 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/train_snr13_echo3.npz: 7500 symbols, x shape=(7500, 100), tau in [1, 33], f_d in [4.591e-08, 7.993e-05]
2026-09-25 12:15:12 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/train_snr15_echo3.npz: 7500 symbols, x shape=(7500, 100), tau in [1, 33], f_d in [1.089e-08, 7.999e-05]
2026-09-25 12:15:13 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/train_snr17_echo3.npz: 7500 symbols, x shape=(7500, 100), tau in [1, 33], f_d in [7.323e-08, 7.986e-05]
2026-09-25 12:15:14 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/train_snr19_echo3.npz: 7500 symbols, x shape=(7500, 100), tau in [1, 33], f_d in [5.338e-08, 7.999e-05]
2026-09-25 12:15:14 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/train_snr21_echo3.npz: 7500 symbols, x shape=(7500, 100), tau in [1, 33], f_d in [2.547e-08, 7.992e-05]
2026-09-25 12:15:14 | src.data.dataset_generator     | INFO   | split 'train': 14 files generated, 7500 symbols per combination (combos=14)
2026-09-25 12:15:15 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/val_snr-5_echo3.npz: 5000 symbols, x shape=(5000, 100), tau in [1, 33], f_d in [6.988e-08, 7.999e-05]
2026-09-25 12:15:15 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/val_snr-3_echo3.npz: 5000 symbols, x shape=(5000, 100), tau in [1, 33], f_d in [2.936e-08, 7.981e-05]
2026-09-25 12:15:16 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/val_snr-1_echo3.npz: 5000 symbols, x shape=(5000, 100), tau in [1, 33], f_d in [1.602e-07, 7.976e-05]
2026-09-25 12:15:16 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/val_snr1_echo3.npz: 5000 symbols, x shape=(5000, 100), tau in [1, 33], f_d in [1.069e-07, 7.989e-05]
2026-09-25 12:15:17 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/val_snr3_echo3.npz: 5000 symbols, x shape=(5000, 100), tau in [1, 33], f_d in [1.071e-07, 7.983e-05]
2026-09-25 12:15:17 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/val_snr5_echo3.npz: 5000 symbols, x shape=(5000, 100), tau in [1, 33], f_d in [6.418e-08, 7.999e-05]
2026-09-25 12:15:18 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/val_snr7_echo3.npz: 5000 symbols, x shape=(5000, 100), tau in [1, 33], f_d in [1.053e-07, 7.992e-05]
2026-09-25 12:15:18 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/val_snr9_echo3.npz: 5000 symbols, x shape=(5000, 100), tau in [1, 33], f_d in [1.212e-08, 7.971e-05]
2026-09-25 12:15:19 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/val_snr11_echo3.npz: 5000 symbols, x shape=(5000, 100), tau in [1, 33], f_d in [6.813e-08, 7.990e-05]
2026-09-25 12:15:20 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/val_snr13_echo3.npz: 5000 symbols, x shape=(5000, 100), tau in [1, 33], f_d in [2.243e-08, 7.999e-05]
