offset,ratio,n_peers,corange,target_hit,peer_false,fallback,abs_err,label_mode,guard_factor
5.0,2.6859772967273967,1,False,True,False,True,0.4744637906551361,exclude_with_fallback,1.5
19.0,0.20417996339269062,1,False,False,False,False,17.99496991932392,exclude_with_fallback,1.5
-4.0,9.462124343575669,1,False,False,False,False,1.1238566786050797,exclude_with_fallback,1.5
3.0,1.0115569841606564,1,False,False,False,False,0.8047630190849304,exclude_with_fallback,1.5
10.0,2.5756763663274214,1,False,False,False,False,2.667868673801422,exclude_with_fallback,1.5
25.0,0.3136318813713963,1,False,False,False,False,24.048661597073078,exclude_with_fallback,1.5
8.0,1.602912929539321,1,False,False,False,False,1.0228445827960968,exclude_with_fallback,1.5
13.0,1.3132477997122984,1,False,False,False,False,2.4155056178569794,exclude_with_fallback,1.5
2.0,3.583257904807532,1,False,False,False,False,1.235478937625885,exclude_with_fallback,1.5
-1.0,4.244517323498046,1,False,False,True,True,1.3328587710857391,exclude_with_fallback,1.5
22.0,2.400165146196247,1,False,True,False,False,0.09688109159469604,exclude_with_fallback,1.5
18.0,8.725250429329776,1,False,True,False,True,0.2595372796058655,exclude_with_fallback,1.5
13.0,6.010682546696134,1,False,True,False,False,0.35980939865112305,exclude_with_fallback,1.5
23.0,4.8964178579723,1,False,True,False,False,0.1802418828010559,exclude_with_fallback,1.5
24.0,1.7459839148974425,1,False,True,False,False,0.2885846495628357,exclude_with_fallback,1.5
5.0,1.4807665391738543,1,False,False,False,False,1.687785804271698,exclude_with_fallback,1.5
6.0,6.797296715136051,1,False,False,False,False,5.217707589268684,exclude_with_fallback,1.5
12.0,3.675498615111312,1,False,False,False,False,0.5841118693351746,exclude_with_fallback,1.5
23.0,1.5652229688922419,1,False,True,False,False,0.09032171964645386,exclude_with_fallback,1.5
-4.0,6.320754605824382,1,False,False,False,True,5.894660547375679,exclude_with_fallback,1.5
6.0,0.6284558765947468,1,False,False,False,False,4.4227296113967896,exclude_with_fallback,1.5
19.0,0.33637343722868995,1,False,False,False,False,18.010446060448885,exclude_with_fallback,1.5
5.0,0.49388375415562163,1,False,False,False,False,4.072482630610466,exclude_with_fallback,1.5
2.0,13.63421371091043,1,False,True,False,True,0.2449321746826172,exclude_with_fallback,1.5
-5.0,5.956177322294892,1,False,False,False,True,2.474557563662529,exclude_with_fallback,1.5
13.0,0.37514473896198,1,False,False,False,False,11.99275454506278,exclude_with_fallback,1.5
24.0,4.538564970826284,1,False,False,False,True,17.62330937385559,exclude_with_fallback,1.5
8.0,0.36460098766473853,1,False,False,False,False,7.017767891287804,exclude_with_fallback,1.5
18.0,2.9874908591899034,1,False,False,False,False,2.6874642968177795,exclude_with_fallback,1.5
1.0,3.463041519794866,1,False,True,False,False,0.3837784379720688,exclude_with_fallback,1.5
7.0,5.855415575422303,1,False,True,False,True,0.4598052203655243,exclude_with_fallback,1.5
20.0,0.8969909385897871,1,False,False,False,False,18.652580365538597,exclude_with_fallback,1.5
31.0,0.28020024341893235,1,False,False,False,False,30.15002967044711,exclude_with_fallback,1.5
9.0,2.9361652938689,1,False,False,False,False,1.0411864519119263,exclude_with_fallback,1.5
19.0,9.599614473561367,1,False,False,False,True,10.451689660549164,exclude_with_fallback,1.5
10.0,5.5361000700958165,1,False,False,True,False,10.217800065875053,exclude_with_fallback,1.5
-4.0,3.796861627264524,1,False,False,False,True,1.2554477900266647,exclude_with_fallback,1.5
30.0,0.5976610105467958,1,False,False,False,False,23.94796398282051,exclude_with_fallback,1.5
3.0,0.7358524580049923,1,False,False,False,False,1.7668291553854942,exclude_with_fallback,1.5
-3.0,4.130712103490628,1,False,False,False,False,1.0783329904079437,exclude_with_fallback,1.5
5.0,13.659147396859645,1,False,True,False,True,0.43349525332450867,exclude_with_fallback,1.5
11.0,4.392391527730265,1,False,False,False,True,1.1335438787937164,exclude_with_fallback,1.5
15.0,1.5596000834512838,1,False,False,False,False,1.7671359777450562,exclude_with_fallback,1.5
26.0,3.7733929504688053,1,False,True,False,False,0.197803795337677,exclude_with_fallback,1.5
16.0,2.6268649009457548,1,False,True,False,False,0.3514113426208496,exclude_with_fallback,1.5
6.0,0.34967288672867114,1,False,False,False,False,4.9083733558654785,exclude_with_fallback,1.5
10.0,1.767924688395875,1,False,False,False,True,1.8289543688297272,exclude_with_fallback,1.5
10.0,4.803470199606329,1,False,False,False,False,2.016758978366852,exclude_with_fallback,1.5
7.0,9.916199218871306,1,False,True,False,True,0.4057956635951996,exclude_with_fallback,1.5
10.0,2.66770035722698,1,False,False,False,False,6.1920411586761475,exclude_with_fallback,1.5
3.0,1.11242669665557,1,False,False,False,False,0.5978689342737198,exclude_with_fallback,1.5
16.0,1.2610260179712767,1,False,False,False,False,0.8770403265953064,exclude_with_fallback,1.5
7.0,0.27612617205721013,1,False,False,False,False,6.23186706751585,exclude_with_fallback,1.5
22.0,0.684749052583805,1,False,False,False,False,19.94340793043375,exclude_with_fallback,1.5
-1.0,1.6948281264086222,1,False,False,True,False,1.0850531160831451,exclude_with_fallback,1.5
24.0,8.297238903120451,1,False,True,False,False,0.18805360794067383,exclude_with_fallback,1.5
25.0,6.454182019814955,1,False,False,False,True,0.7654832005500793,exclude_with_fallback,1.5
22.0,1.4515035433488004,1,False,False,False,False,3.0423301458358765,exclude_with_fallback,1.5
-2.0,5.404967837191905,1,False,False,False,False,2.887479603290558,exclude_with_fallback,1.5
4.0,1.7434902449244207,1,False,False,False,False,1.3375077843666077,exclude_with_fallback,1.5
13.0,3.964080164278853,1,False,False,False,True,1.1769840717315674,exclude_with_fallback,1.5
7.0,11.332069558477427,1,False,False,False,False,0.5399713814258575,exclude_with_fallback,1.5
1.0,3.141695101281657,1,False,False,False,False,0.7111703008413315,exclude_with_fallback,1.5
14.0,6.375202970465451,1,False,False,False,False,0.6092978119850159,exclude_with_fallback,1.5
24.0,7.262431252341299,1,False,False,False,False,0.741295576095581,exclude_with_fallback,1.5
4.0,2.162267702110958,1,False,False,False,False,1.2235701084136963,exclude_with_fallback,1.5
24.0,9.834015237538237,1,False,False,False,False,0.5429598093032837,exclude_with_fallback,1.5
13.0,2.3028808473717866,1,False,False,False,False,1.3119465112686157,exclude_with_fallback,1.5
19.0,7.97234753553728,1,False,True,False,False,0.05926311016082764,exclude_with_fallback,1.5
30.0,0.25640635113991617,1,False,False,False,False,29.124226070940495,exclude_with_fallback,1.5
7.0,0.41434871836228887,1,False,False,False,False,6.158987175673246,exclude_with_fallback,1.5
13.0,5.742150382196453,1,False,False,False,False,2.938847929239273,exclude_with_fallback,1.5
1.0,11.572148985637321,1,False,False,False,True,0.768947184085846,exclude_with_fallback,1.5
5.0,3.5356280498070225,1,False,False,False,False,0.7806574702262878,exclude_with_fallback,1.5
30.0,1.1608885267423497,1,False,False,False,False,7.6721819043159485,exclude_with_fallback,1.5
30.0,0.9331566613596685,1,False,False,False,False,21.08519133925438,exclude_with_fallback,1.5
19.0,2.1211191376354517,1,False,False,False,False,0.6458753347396851,exclude_with_fallback,1.5
14.0,0.19938919842611547,1,False,False,False,False,13.135018222033978,exclude_with_fallback,1.5
15.0,0.9940727065330678,1,False,False,False,False,7.56838721036911,exclude_with_fallback,1.5
20.0,3.043151584960847,1,False,False,False,False,5.4063650369644165,exclude_with_fallback,1.5
2.0,10.830253448130085,1,False,False,False,False,0.7210381329059601,exclude_with_fallback,1.5
9.0,2.7232961352597793,1,False,False,False,False,1.2414970695972443,exclude_with_fallback,1.5
22.0,0.49075795641946274,1,False,False,False,False,20.480332300066948,exclude_with_fallback,1.5
17.0,0.36664221853402307,1,False,False,False,False,16.027054768055677,exclude_with_fallback,1.5
11.0,2.292080456874169,1,False,False,False,False,2.349059045314789,exclude_with_fallback,1.5
-1.0,2.611506494849522,1,False,False,False,False,1.5312901511788368,exclude_with_fallback,1.5
2.0,4.386906035576872,1,False,False,False,True,0.8781543672084808,exclude_with_fallback,1.5
3.0,0.3675011995754428,1,False,False,False,False,1.953257478773594,exclude_with_fallback,1.5
