2026-09-25 14:39:17 | src.evaluation.evaluator       | WARNING | SNR=9.0 dB: 4/512 sensing elements outside [0,1] (min=-0.2308, max=1.2222) -> clamped
2026-09-25 14:39:18 | src.evaluation.evaluator       | WARNING | SNR=11.0 dB: 11/512 sensing elements outside [0,1] (min=-0.2751, max=1.3218) -> clamped
2026-09-25 14:39:18 | src.evaluation.evaluator       | WARNING | SNR=13.0 dB: 7/512 sensing elements outside [0,1] (min=-0.0578, max=1.2175) -> clamped
2026-09-25 14:39:18 | src.evaluation.evaluator       | WARNING | SNR=15.0 dB: 7/512 sensing elements outside [0,1] (min=-0.2653, max=1.6045) -> clamped
2026-09-25 14:39:18 | src.evaluation.evaluator       | WARNING | SNR=17.0 dB: 8/512 sensing elements outside [0,1] (min=-0.0731, max=1.3304) -> clamped
2026-09-25 14:39:18 | src.evaluation.evaluator       | WARNING | SNR=19.0 dB: 9/512 sensing elements outside [0,1] (min=-0.1074, max=1.0499) -> clamped
2026-09-25 14:39:18 | src.evaluation.evaluator       | WARNING | SNR=21.0 dB: 6/512 sensing elements outside [0,1] (min=-0.2057, max=1.1513) -> clamped
2026-09-25 14:39:18 | src.evaluation.evaluator       | INFO   | Evaluation completed for 14 SNR points
2026-09-25 14:39:18 | src.experiments.run_jamming    | INFO   | jamming cw r=0 JSR=2.0 dB | BER=0.51004
2026-09-25 14:39:18 | src.evaluation.evaluator       | INFO   | Starting evaluation over 14 SNR points
2026-09-25 14:39:19 | src.evaluation.evaluator       | WARNING | SNR=-5.0 dB: 8/512 sensing elements outside [0,1] (min=-0.4426, max=1.3149) -> clamped
2026-09-25 14:39:19 | src.evaluation.evaluator       | WARNING | SNR=-3.0 dB: 12/512 sensing elements outside [0,1] (min=-0.5684, max=1.1986) -> clamped
2026-09-25 14:39:19 | src.evaluation.evaluator       | WARNING | SNR=-1.0 dB: 17/512 sensing elements outside [0,1] (min=-0.5542, max=1.2654) -> clamped
2026-09-25 14:39:19 | src.evaluation.evaluator       | WARNING | SNR=1.0 dB: 9/512 sensing elements outside [0,1] (min=-0.1805, max=1.2266) -> clamped
2026-09-25 14:39:19 | src.evaluation.evaluator       | WARNING | SNR=3.0 dB: 14/512 sensing elements outside [0,1] (min=-0.6251, max=1.3891) -> clamped
2026-09-25 14:39:19 | src.evaluation.evaluator       | WARNING | SNR=5.0 dB: 14/512 sensing elements outside [0,1] (min=-0.3814, max=1.8952) -> clamped
2026-09-25 14:39:19 | src.evaluation.evaluator       | WARNING | SNR=7.0 dB: 12/512 sensing elements outside [0,1] (min=-0.3727, max=1.5182) -> clamped
2026-09-25 14:39:20 | src.evaluation.evaluator       | WARNING | SNR=9.0 dB: 8/512 sensing elements outside [0,1] (min=-0.3644, max=1.3706) -> clamped
2026-09-25 14:39:20 | src.evaluation.evaluator       | WARNING | SNR=11.0 dB: 20/512 sensing elements outside [0,1] (min=-0.5343, max=1.4447) -> clamped
2026-09-25 14:39:20 | src.evaluation.evaluator       | WARNING | SNR=13.0 dB: 13/512 sensing elements outside [0,1] (min=-0.1889, max=1.3343) -> clamped
2026-09-25 14:39:20 | src.evaluation.evaluator       | WARNING | SNR=15.0 dB: 15/512 sensing elements outside [0,1] (min=-0.4987, max=1.8346) -> clamped
2026-09-25 14:39:20 | src.evaluation.evaluator       | WARNING | SNR=17.0 dB: 18/512 sensing elements outside [0,1] (min=-0.2348, max=1.5147) -> clamped
2026-09-25 14:39:21 | src.evaluation.evaluator       | WARNING | SNR=19.0 dB: 15/512 sensing elements outside [0,1] (min=-0.1029, max=1.0940) -> clamped
2026-09-25 14:39:21 | src.evaluation.evaluator       | WARNING | SNR=21.0 dB: 12/512 sensing elements outside [0,1] (min=-0.3107, max=1.2314) -> clamped
2026-09-25 14:39:21 | src.evaluation.evaluator       | INFO   | Evaluation completed for 14 SNR points
2026-09-25 14:39:21 | src.experiments.run_jamming    | INFO   | jamming cw r=0 JSR=4.0 dB | BER=0.51032
2026-09-25 14:39:21 | src.evaluation.evaluator       | INFO   | Starting evaluation over 14 SNR points
2026-09-25 14:39:21 | src.evaluation.evaluator       | WARNING | SNR=-5.0 dB: 13/512 sensing elements outside [0,1] (min=-0.5843, max=1.5311) -> clamped
2026-09-25 14:39:21 | src.evaluation.evaluator       | WARNING | SNR=-3.0 dB: 16/512 sensing elements outside [0,1] (min=-0.8325, max=1.3940) -> clamped
