2026-09-26 12:32:02 | src.experiments.pipeline       | INFO   | Model saved to results/smoke2/fast/ber_vs_snr/iod_peers/qkv/best_model.keras
2026-09-26 12:32:02 | src.utils.config_loader        | INFO   | config snapshot saved: results/smoke2/fast/ber_vs_snr/iod_peers/qkv/logs/config_used.yaml
2026-09-26 12:32:02 | __main__                       | INFO   | RSS [ber_vs_snr iod_peers/qkv] = 1.25 GB
2026-09-26 12:32:02 | __main__                       | INFO   | Architecture: blind_stat
2026-09-26 12:32:02 | src.evaluation.compare_baselines | WARNING | Fallback style for unknown architecture: 'blind_stat'
2026-09-26 12:32:03 | src.evaluation.compare_baselines | INFO   | BER plot saved to results/smoke2/fast/ber_vs_snr/plots/ber_vs_snr_iod_peers.pdf
2026-09-26 12:32:03 | src.experiments.pipeline       | INFO   | Overlay saved to results/smoke2/fast/ber_vs_snr/plots/ber_vs_snr_iod_peers.pdf
2026-09-26 12:32:03 | __main__                       | INFO   | RSS [ber_vs_snr iod_peers scenario done] = 1.25 GB
2026-09-26 12:32:03 | __main__                       | INFO   | ber_vs_snr experiment completed.
2026-09-26 12:32:03 | __main__                       | INFO   | Experiment ber_vs_snr completed successfully.
2026-09-26 12:32:03 | __main__                       | INFO   | ================================================================================
2026-09-26 12:32:03 | __main__                       | INFO   | EXPERIMENT classical_receivers
2026-09-26 12:32:03 | __main__                       | INFO   | ================================================================================
2026-09-26 12:32:03 | __main__                       | INFO   | experiment_name = classical_receivers_fast
2026-09-26 12:32:03 | __main__                       | INFO   | seed = 42
2026-09-26 12:32:03 | __main__                       | INFO   | lambda_mse = 2
2026-09-26 12:32:03 | __main__                       | INFO   | sequence_length = 100
2026-09-26 12:32:03 | __main__                       | INFO   | map_type = logistic / map_param = 4.0
2026-09-26 12:32:03 | __main__                       | INFO   | backbone_type = conv1d
2026-09-26 12:32:03 | __main__                       | INFO   | epochs = 5
2026-09-26 12:32:03 | src.utils.config_loader        | INFO   | config snapshot saved: results/smoke2/fast/classical_receivers/logs/config_used.yaml
2026-09-26 12:32:03 | __main__                       | INFO   | ============================================================
2026-09-26 12:32:03 | __main__                       | INFO   | Experiment classical_receivers: equations only (no DL) - classical receivers
2026-09-26 12:32:03 | __main__                       | INFO   | ============================================================
2026-09-26 12:32:03 | src.models.dcsk_correlator     | INFO   | evaluate_classical: detector=dcsk, n_bits=400, n_errors=114, BER=0.285000
2026-09-26 12:32:03 | src.models.dcsk_correlator     | INFO   | evaluate_classical: detector=matched_filter, n_bits=400, n_errors=14, BER=0.035000
2026-09-26 12:32:03 | src.models.dcsk_correlator     | INFO   | evaluate_classical: detector=energy_detector, n_bits=400, n_errors=200, BER=0.500000
2026-09-26 12:32:03 | src.models.dcsk_correlator     | INFO   | evaluate_classical: detector=dcsk, n_bits=400, n_errors=114, BER=0.285000
