2026-09-24 09:22:45 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       partial_band  JSR=  -2.0 dB r=3 jammed=1.000 BER=0.2103 (1 s)
2026-09-24 09:22:47 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       partial_band  JSR=   2.0 dB r=3 jammed=1.000 BER=0.4715 (1 s)
2026-09-24 09:22:48 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       partial_band  JSR=   6.0 dB r=3 jammed=1.000 BER=0.4995 (1 s)
2026-09-24 09:22:50 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       partial_band  JSR=  10.0 dB r=3 jammed=1.000 BER=0.4997 (1 s)
2026-09-24 09:22:55 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       cw            JSR= -10.0 dB r=4 jammed=1.000 BER=0.0076 (2 s)
2026-09-24 09:22:56 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       cw            JSR=  -6.0 dB r=4 jammed=1.000 BER=0.0954 (2 s)
2026-09-24 09:22:58 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       cw            JSR=  -2.0 dB r=4 jammed=1.000 BER=0.4071 (1 s)
2026-09-24 09:22:59 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       cw            JSR=   2.0 dB r=4 jammed=1.000 BER=0.4956 (1 s)
2026-09-24 09:23:00 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       cw            JSR=   6.0 dB r=4 jammed=1.000 BER=0.4959 (1 s)
2026-09-24 09:23:02 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       cw            JSR=  10.0 dB r=4 jammed=1.000 BER=0.4959 (1 s)
2026-09-24 09:23:03 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       partial_band  JSR= -10.0 dB r=4 jammed=1.000 BER=0.0004 (1 s)
2026-09-24 09:23:05 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       partial_band  JSR=  -6.0 dB r=4 jammed=1.000 BER=0.0039 (2 s)
2026-09-24 09:23:07 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       partial_band  JSR=  -2.0 dB r=4 jammed=1.000 BER=0.0355 (2 s)
2026-09-24 09:23:09 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       partial_band  JSR=   2.0 dB r=4 jammed=1.000 BER=0.2319 (2 s)
2026-09-24 09:23:10 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       partial_band  JSR=   6.0 dB r=4 jammed=1.000 BER=0.4530 (1 s)
2026-09-24 09:23:12 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       partial_band  JSR=  10.0 dB r=4 jammed=1.000 BER=0.4931 (1 s)
2026-09-24 09:23:15 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off fixed_partial cw            JSR= -10.0 dB r=0 jammed=1.000 BER=0.0024 (1 s)
2026-09-24 09:23:17 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off fixed_partial cw            JSR=  -6.0 dB r=0 jammed=1.000 BER=0.0345 (1 s)
2026-09-24 09:23:18 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off fixed_partial cw            JSR=  -2.0 dB r=0 jammed=1.000 BER=0.2788 (1 s)
2026-09-24 09:23:20 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off fixed_partial cw            JSR=   2.0 dB r=0 jammed=1.000 BER=0.5001 (2 s)
2026-09-24 09:23:22 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off fixed_partial cw            JSR=   6.0 dB r=0 jammed=1.000 BER=0.5036 (2 s)
2026-09-24 09:23:24 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off fixed_partial cw            JSR=  10.0 dB r=0 jammed=1.000 BER=0.5036 (2 s)
2026-09-24 09:23:25 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off fixed_partial partial_band  JSR= -10.0 dB r=0 jammed=1.000 BER=0.0002 (1 s)
2026-09-24 09:23:27 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off fixed_partial partial_band  JSR=  -6.0 dB r=0 jammed=1.000 BER=0.0029 (1 s)
2026-09-24 09:23:28 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off fixed_partial partial_band  JSR=  -2.0 dB r=0 jammed=1.000 BER=0.0370 (1 s)
2026-09-24 09:23:30 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off fixed_partial partial_band  JSR=   2.0 dB r=0 jammed=1.000 BER=0.2485 (1 s)
2026-09-24 09:23:31 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off fixed_partial partial_band  JSR=   6.0 dB r=0 jammed=1.000 BER=0.4731 (1 s)
2026-09-24 09:23:32 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off fixed_partial partial_band  JSR=  10.0 dB r=0 jammed=1.000 BER=0.5010 (1 s)
2026-09-24 09:23:37 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off fixed_partial cw            JSR= -10.0 dB r=1 jammed=1.000 BER=0.0014 (2 s)
2026-09-24 09:23:38 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off fixed_partial cw            JSR=  -6.0 dB r=1 jammed=1.000 BER=0.0152 (1 s)
2026-09-24 09:23:40 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off fixed_partial cw            JSR=  -2.0 dB r=1 jammed=1.000 BER=0.1527 (1 s)
2026-09-24 09:23:41 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off fixed_partial cw            JSR=   2.0 dB r=1 jammed=1.000 BER=0.4723 (1 s)
2026-09-24 09:23:43 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off fixed_partial cw            JSR=   6.0 dB r=1 jammed=1.000 BER=0.5038 (1 s)
2026-09-24 09:23:44 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off fixed_partial cw            JSR=  10.0 dB r=1 jammed=1.000 BER=0.5038 (1 s)
2026-09-24 09:23:46 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off fixed_partial partial_band  JSR= -10.0 dB r=1 jammed=1.000 BER=0.0027 (1 s)
2026-09-24 09:23:48 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off fixed_partial partial_band  JSR=  -6.0 dB r=1 jammed=1.000 BER=0.0291 (2 s)
